export_country,import_country,value_thousand_USD,quantity_metric_tons,year
Austria,Ghana,1.143,1.575,2018
Austria,Greece,57.701484934346816,6.752521859547922,2018
Austria,Greenland,9.701,0.55,2018
Austria,Hungary,853.8070311718866,123.26926594453583,2018
Austria,Iceland,57.963036550398314,4.944147511604627,2018
Austria,India,23.5276224331993,3.7342835840396704,2018
Austria,Indonesia,15.981,2.802,2018
Austria,Ireland,259.699190724862,34.1926670434474,2018
Austria,Israel,58.36454384426781,8.942369571372678,2018
Austria,Italy,3142.996087126983,854.9506081010505,2018
Austria,Japan,1408.794300249032,143.72780479070082,2018
Austria,Kazakhstan,9.593255597423509,0.9655883911544749,2018
Austria,Kenya,8.18136632175298,1.2244081025129199,2018
Austria,Kyrgyzstan,1.034,0.292,2018
Austria,Latvia,320.33274307737304,66.7135447516988,2018
Austria,Lebanon,6.077859833328639,1.54295011825062,2018
Austria,Lithuania,2029.342989103216,138.84710087231318,2018
Austria,Malaysia,25.0177489829838,2.5930148247165805,2018
Austria,Maldives,28.44985831891029,2.129617517391378,2018
Austria,Malta,17.167237534577698,2.67982701053336,2018
Austria,Mexico,33.104997893013895,3.41529071474181,2018
Austria,Mongolia,163.442745596699,73.6260847303817,2018
Austria,Montenegro,6.058474705792951,0.579016224311219,2018
Austria,Morocco,7.785,0.69,2018
Austria,Mozambique,1.0160358684281499,0.383912002442116,2018
Austria,Myanmar,59.72,3.8689999999999998,2018
Austria,Netherlands,13292.851711542438,3427.993092693342,2018
Austria,New Zealand,8.09790970692228,0.281262715708517,2018
Austria,Nicaragua,11.892000000000001,0.294,2018
Austria,Nigeria,1.097,0.294,2018
Austria,Norway,5786.466927674435,1081.1665392168704,2018
Austria,"Other Asia, nes",260.3753719168111,15.935934803917272,2018
Austria,Pakistan,1.662,0.14300000000000002,2018
Austria,Panama,4.43,3.6,2018
Austria,Paraguay,40.184,22.68,2018
Austria,Peru,11.0526073488616,0.899923220837522,2018
Austria,Philippines,24.325,2.741,2018
Austria,Poland,1384.6434236809243,468.3646194496116,2018
Austria,Portugal,118.5628088046888,6.3072591838519125,2018
Austria,Qatar,101.389,10.818,2018
